년도,시군구코드,시도명,,폴리곤,총사고건수,총사망자수,총중상자수,총경상자수,총부상신고자수,사고분석유형명,중심점UTMK X좌표,중심점UTMK Y좌표
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60013,"POLYGON  (( 1021405.00380000 1638355.29760000, 1021407.61470000 1638356.08960000, 1021421.44560000 1638363.48240000, 1021433.56850000 1638373.43150000, 1021443.51760000 1638385.55440000, 1021450.91040000 1638399.38530000, 1021452.14000000 1638403.43870000",30,0,13,18,1,기타 / 신호위반 / 안전거리미확보,1021181,1638455
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60014,"POLYGON  (( 1020967.00000000 1638632.00000000, 1020965.46280000 1638647.60720000, 1020960.91040000 1638662.61470000, 1020958.87500000 1638666.42260000, 1020958.46280000 1638670.60720000, 1020954.65850000 1638683.14830000, 1020957.46280000 1638692.39280000",13,0,4,11,1,U턴중 / 기타 / 신호위반,1020876,1638706
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60015,"POLYGON  (( 1018432.56850000 1639299.43150000, 1018437.80120000 1639305.80750000, 1018446.00000000 1639305.00000000, 1018461.60720000 1639306.53720000, 1018476.61470000 1639311.08960000, 1018490.44560000 1639318.48240000, 1018502.56850000 1639328.43150000",14,0,2,16,1,기타,1018371,1639396
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60016,"POLYGON  (( 1016387.29430000 1639369.28230000, 1016393.56850000 1639374.43150000, 1016403.51760000 1639386.55440000, 1016410.91040000 1639400.38530000, 1016412.77480000 1639406.53150000, 1016414.61470000 1639407.08960000, 1016428.44560000 1639414.48240000",14,1,1,23,0,기타 / 안전거리미확보,1016349,1639464
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60017,"POLYGON  (( 1022290.18550000 1639021.73100000, 1022291.38530000 1639021.08960000, 1022306.39280000 1639016.53720000, 1022322.00000000 1639015.00000000, 1022337.60720000 1639016.53720000, 1022352.61470000 1639021.08960000, 1022366.44560000 1639028.48240000",11,0,3,20,0,기타 / 신호위반 / 안전거리미확보,1022281,1639121
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60018,"POLYGON  (( 1018797.21650000 1639714.75640000, 1018800.44560000 1639716.48240000, 1018812.56850000 1639726.43150000, 1018822.51760000 1639738.55440000, 1018829.91040000 1639752.38530000, 1018834.46280000 1639767.39280000, 1018836.00000000 1639783.00000000",17,0,3,20,2,U턴중 / 기타 / 안전거리미확보,1018698,1639811
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60019,"POLYGON  (( 1014432.07430000 1640069.48470000, 1014432.60720000 1640069.53720000, 1014445.95660000 1640073.58670000, 1014455.60720000 1640074.53720000, 1014470.61470000 1640079.08960000, 1014484.44560000 1640086.48240000, 1014484.65670000 1640086.65560000",14,0,2,17,1,U턴중 / 기타 / 안전거리미확보,1014403,1640168
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60020,"POLYGON  (( 1020031.00000000 1640325.00000000, 1020029.46280000 1640340.60720000, 1020024.91040000 1640355.61470000, 1020017.51760000 1640369.44560000, 1020007.56850000 1640381.56850000, 1019995.56470000 1640391.41990000, 1019995.02130000 1640396.93720000",17,0,3,22,0,기타 / 안전거리미확보,1019872,1640390
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60021,"POLYGON  (( 1016414.00000000 1641062.00000000, 1016412.46280000 1641077.60720000, 1016407.91040000 1641092.61470000, 1016405.94530000 1641096.29110000, 1016407.00000000 1641107.00000000, 1016405.46280000 1641122.60720000, 1016400.91040000 1641137.61470000",11,0,1,16,0,U턴중 / 기타 / 신호위반,1016278,1641099
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60022,"POLYGON  (( 1017857.73820000 1641494.29370000, 1017867.44560000 1641499.48240000, 1017872.08350000 1641503.28860000, 1017874.60720000 1641503.53720000, 1017889.61470000 1641508.08960000, 1017903.44560000 1641515.48240000, 1017910.95010000 1641521.64120000",17,0,2,21,0,U턴중 / 기타 / 신호위반,1017872,1641601
